Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-10-06 23:00:00,6543.67,6550.11,6538.02,6544.08,21.19,138687.4,6544.78
2018-10-07 0:00:00,6547.93,6560.53,6534.9,6552.44,85.88,562476.56,6549.2
2018-10-07 1:00:00,6552.35,6561.25,6536.68,6553.76,211.8,1387075.43,6548.97
2018-10-07 2:00:00,6553.77,6556.01,6549.27,6552.26,36.7,240528.35,6553.32
2018-10-07 3:00:00,6553.86,6556.87,6544.76,6556.87,33.36,218527.1,6549.68
2018-10-07 4:00:00,6556.88,6560,6530,6536.55,66.59,435646.26,6542.2
2018-10-07 5:00:00,6536.55,6544.18,6534.51,6541.23,26.78,175115.08,6539.97
2018-10-07 6:00:00,6541.22,6551.63,6534.18,6541.9,33.72,220562.45,6540.85
2018-10-07 7:00:00,6541.55,6541.95,6531.26,6531.27,67.6,441748.29,6534.52
2018-10-07 8:00:00,6531.85,6532.89,6493.92,6512.72,305.8,1990540.43,6509.39
2018-10-07 9:00:00,6512.72,6524.95,6509,6518.07,54.29,353779.48,6516.55
2018-10-07 10:00:00,6518.07,6530.17,6513.21,6514,45.88,299282.2,6522.45
2018-10-07 11:00:00,6513.4,6520.12,6507.34,6520.12,58.2,379211.35,6515.88
2018-10-07 12:00:00,6520.12,6520.12,6507.46,6517.26,15.92,103690.96,6512.75
2018-10-07 13:00:00,6517.24,6536.52,6511.29,6531.76,44.92,293095.37,6524.69
2018-10-07 14:00:00,6531.76,6535.53,6516.64,6522.37,71.68,467676.24,6524.63
2018-10-07 15:00:00,6522.36,6531.12,6519.92,6527.87,26.34,171883.65,6524.56
2018-10-07 16:00:00,6527.87,6528.5,6516.23,6523.63,30.35,197904.96,6521.28
2018-10-07 17:00:00,6523.63,6539.06,6521.23,6533.46,62.19,406108.64,6529.82
2018-10-07 18:00:00,6533.45,6542.31,6529.85,6541.62,48.49,316940.53,6535.89
2018-10-07 19:00:00,6541.59,6542.29,6529.98,6531.86,9.27,60570.45,6535.23
2018-10-07 20:00:00,6531.39,6534.43,6523.29,6528.93,36.92,241025.56,6527.7
2018-10-07 21:00:00,6528.06,6535.51,6519.7,6535.51,35.2,229754.13,6526.21
2018-10-07 22:00:00,6534.1,6538.43,6530.13,6538.43,34.49,225376.58,6535.47
2018-10-07 23:00:00,6538.43,6600,6538.42,6577.63,1013.27,6674976.59,6587.58
2018-10-08 0:00:00,6574.15,6583.33,6560.53,6568.96,588.3,3869301.16,6577.04
2018-10-08 1:00:00,6569.05,6582.29,6558.95,6561.05,107.12,703642.92,6568.59
2018-10-08 2:00:00,6558.96,6563.01,6554.16,6558.06,76.77,503515.59,6559.15
2018-10-08 3:00:00,6558.06,6558.82,6554.67,6556.76,22.63,148390.08,6557.19
2018-10-08 4:00:00,6556.83,6558.82,6550.16,6557.94,80.71,529035.25,6554.8
2018-10-08 5:00:00,6557.92,6562.62,6544.07,6544.07,83.96,550023.37,6551.3
2018-10-08 6:00:00,6544.78,6553.66,6542.59,6552.89,100.87,660453.16,6547.36
2018-10-08 7:00:00,6547.76,6556.12,6542.68,6547.28,137.69,901668.85,6548.4
2018-10-08 8:00:00,6547.23,6549.83,6542.59,6544.8,107.73,705196.38,6545.95
2018-10-08 9:00:00,6543.8,6554.55,6541.06,6554.55,91.82,601348.55,6549.02
2018-10-08 10:00:00,6554.55,6579.26,6545.56,6579.26,229.03,1503544.93,6564.98
2018-10-08 11:00:00,6579.26,6608.26,6569.73,6591.63,448.57,2955954.16,6589.74
2018-10-08 12:00:00,6588.95,6656.63,6587.22,6624.7,682.13,4523132.21,6630.88
2018-10-08 13:00:00,6624.48,6632.34,6592.48,6604.22,320.53,2117978.12,6607.72
2018-10-08 14:00:00,6604.23,6619.71,6597.5,6612.31,140.06,925794.5,6609.8
2018-10-08 15:00:00,6612.31,6628.92,6610,6622.75,89.69,593912.39,6622.17
2018-10-08 16:00:00,6622.75,6622.82,6600,6602.88,95.07,628713.24,6613.25
2018-10-08 17:00:00,6604.38,6626.13,6604.38,6618.97,150.78,997521.46,6615.9
2018-10-08 18:00:00,6618.97,6622.38,6605.66,6607.41,43.74,289250.42,6613.57
2018-10-08 19:00:00,6607.41,6645.96,6607.41,6630.54,166.2,1101703.58,6628.74
2018-10-08 20:00:00,6629.56,6637.44,6620.01,6620.01,43.4,287574.3,6626.51
2018-10-08 21:00:00,6620.01,6630,6609.41,6613.67,40.65,269115.89,6620.6
2018-10-08 22:00:00,6612.84,6629.97,6591.79,6598.64,189.46,1251758.79,6606.95
2018-10-08 23:00:00,6597.84,6608.72,6595.92,6604.75,42.14,278198.52,6601.34
2018-10-09 0:00:00,6604.76,6623.14,6602.05,6605.67,50.51,333980.1,6611.9
2018-10-09 1:00:00,6603.66,6608.9,6591.69,6603.27,94.4,623035.89,6599.84
2018-10-09 2:00:00,6599.44,6605,6588.79,6601.39,81.48,537423.12,6596.12
2018-10-09 3:00:00,6601.03,6606.16,6591.59,6606.15,63.58,419540.48,6598.79
2018-10-09 4:00:00,6605.58,6611.72,6605.58,6611.04,41.18,272145.07,6608.74
2018-10-09 5:00:00,6611.03,6613.68,6596.59,6597.61,96.02,634012.5,6602.64
2018-10-09 6:00:00,6597.6,6603.7,6592.13,6594.4,114.91,758204.67,6598.14
2018-10-09 7:00:00,6594.41,6602,6590.23,6596.5,87.96,580166.08,6595.75
2018-10-09 8:00:00,6599.29,6600.58,6575.35,6591.68,76.95,506521.83,6582.33
2018-10-09 9:00:00,6591.68,6595,6585,6593.04,86.14,567681.58,6590.03
2018-10-09 10:00:00,6593.01,6594.67,6584.08,6590.77,80.07,527627.39,6589.48
2018-10-09 11:00:00,6589.8,6590.77,6575.9,6584.88,93.14,613054.05,6582.02
2018-10-09 12:00:00,6584.38,6588.12,6568,6578.3,80.63,530235.12,6576.22
2018-10-09 13:00:00,6578.3,6579.43,6553.13,6557.3,140.35,921439.48,6565.11
2018-10-09 14:00:00,6556.5,6572.37,6555.04,6568.67,127.21,834953.19,6563.37
2018-10-09 15:00:00,6570.61,6575.01,6563.71,6574.95,66.53,437077.82,6569.86
2018-10-09 16:00:00,6574.94,6574.94,6562.21,6571.11,93.6,614916.22,6569.34
2018-10-09 17:00:00,6572.08,6576.45,6570.1,6573.98,40.24,264512.65,6573.7
2018-10-09 18:00:00,6573.73,6590.8,6573.73,6589.17,102.71,676133.2,6583.15
2018-10-09 19:00:00,6589.17,6604,6580.12,6585.04,198.46,1308161.97,6591.43
2018-10-09 20:00:00,6583.73,6586.56,6571.62,6580.1,110,723644.46,6578.43
2018-10-09 21:00:00,6580.1,6583,6569.52,6581.04,161.41,1061088.34,6573.87
2018-10-09 22:00:00,6581.04,6593.66,6579.46,6593.66,82.35,542466.37,6587.41
2018-10-09 23:00:00,6593.66,6594.35,6588.68,6588.8,85.1,560915.66,6591.17
2018-10-10 0:00:00,6588.72,6589.79,6570.13,6576.47,103.5,680959.79,6579.02
2018-10-10 1:00:00,6576.47,6576.47,6560.91,6562.1,193.87,1272388.69,6562.97
2018-10-10 2:00:00,6562.1,6565.17,6558.11,6558.12,124.11,814424.87,6562.08
2018-10-10 3:00:00,6558.11,6558.12,6526.28,6537.98,423.84,2773062.89,6542.73
2018-10-10 4:00:00,6537.89,6547.11,6526.28,6527,102.65,670968.83,6536.33
2018-10-10 5:00:00,6527.01,6528.79,6387.91,6452.69,2267.36,14637258.79,6455.64
2018-10-10 6:00:00,6456.99,6490.71,6431.01,6487.92,233.41,1507977.39,6460.7
2018-10-10 7:00:00,6487.91,6494.78,6469.74,6491.17,124.29,805696.73,6482.45
2018-10-10 8:00:00,6491.05,6500.09,6475.94,6498.5,95.9,621973.85,6485.65
2018-10-10 9:00:00,6498.5,6510,6493.2,6493.21,110.24,716679.19,6500.9
2018-10-10 10:00:00,6493.2,6496.69,6479.36,6489.02,105.69,685768.79,6488.25
2018-10-10 11:00:00,6489.98,6500,6484.38,6497.76,132.38,859518.22,6492.65
2018-10-10 12:00:00,6497.75,6513.01,6496.09,6509.31,207.92,1352878.67,6506.74
2018-10-10 13:00:00,6509.3,6517.36,6503.29,6515.41,98.84,643703.13,6512.69
2018-10-10 14:00:00,6515.2,6515.2,6499.8,6508.47,95.97,624586.58,6508.42
2018-10-10 15:00:00,6506.65,6506.67,6494.51,6494.69,49.03,318657.89,6499.84
2018-10-10 16:00:00,6492.65,6508.97,6489.27,6505.33,71.79,466725.67,6501.48
2018-10-10 17:00:00,6505.32,6527.73,6504.47,6524.39,143.64,936262.02,6518.2
2018-10-10 18:00:00,6524.4,6558.95,6513.49,6551.06,144.75,946006.36,6535.58
2018-10-10 19:00:00,6551.07,6554.07,6531.18,6537.61,86.98,568854.53,6540.28
2018-10-10 20:00:00,6537.73,6546.86,6531.34,6531.34,67.59,441931.08,6538.33
2018-10-10 21:00:00,6531.34,6533.46,6494,6510,120.41,784490.16,6515.14
2018-10-10 22:00:00,6516.02,6526.88,6508.03,6516.88,36.24,236214.48,6517.8
2018-10-10 23:00:00,6515.79,6538.78,6510.1,6517.55,36.67,239189.29,6522.99
2018-10-11 0:00:00,6517.55,6520.43,6457.3,6458.33,150.86,977886.39,6482.26
2018-10-11 1:00:00,6463.97,6464.07,6055.28,6221.9,2746.06,17052871.75,6209.93
2018-10-11 2:00:00,6221.37,6224.67,6133.7,6194.71,513.97,3176073.49,6179.54
2018-10-11 3:00:00,6189.01,6255.05,6189.01,6221.55,682.05,4239493.11,6215.77
2018-10-11 4:00:00,6221.54,6255.05,6208.1,6218.39,223.69,1393429.02,6229.4
2018-10-11 5:00:00,6219.3,6227.31,6182.61,6204.02,362.97,2251587.33,6203.2
2018-10-11 6:00:00,6203.6,6209.7,6152.51,6191.37,451.47,2793397.19,6187.29
2018-10-11 7:00:00,6191.37,6219.26,6160,6203.77,258.8,1601189.75,6187.05
2018-10-11 8:00:00,6203.79,6224.14,6201.13,6202.29,463.58,2881809.31,6216.42
2018-10-11 9:00:00,6202.29,6213.3,6191.45,6210,142.76,885527.23,6202.87
2018-10-11 10:00:00,6209.25,6216.78,6195.66,6210,276.62,1716090.02,6203.72
2018-10-11 11:00:00,6210,6211.55,6174.72,6182.26,244.23,1513665.71,6197.82
2018-10-11 12:00:00,6179.62,6203.46,6175.57,6191.21,266.98,1653829.42,6194.48
2018-10-11 13:00:00,6190.62,6240,6100,6210.93,767.67,4743246.41,6178.75
2018-10-11 14:00:00,6209.08,6240,6209.08,6209.28,228.08,1419102.88,6222.06
2018-10-11 15:00:00,6209.26,6220.37,6180.73,6194.09,164.83,1021637.7,6198.08
2018-10-11 16:00:00,6191.59,6209.17,6191.58,6201.17,124.24,770505.36,6201.89
2018-10-11 17:00:00,6201.53,6223.92,6201.53,6209.05,98.99,615231.2,6215.06
2018-10-11 18:00:00,6209.05,6215.5,6190.25,6192.47,74.24,460699.35,6205.7
2018-10-11 19:00:00,6192.46,6205.3,6188.35,6197.67,90.77,562383.18,6195.59
2018-10-11 20:00:00,6194.88,6221.57,6129.34,6201.35,553.28,3415799.93,6173.75
2018-10-11 21:00:00,6204.85,6214,6183.02,6199.69,131.36,813835.25,6195.38
2018-10-11 22:00:00,6199.67,6200.75,6170.87,6193.8,111.98,692568.95,6184.68
2018-10-11 23:00:00,6191.05,6198.62,6109,6152.76,486.76,2994477.45,6151.84
2018-10-12 0:00:00,6152.76,6171.94,6109.79,6152.54,547.49,3359748.35,6136.68
2018-10-12 1:00:00,6150.21,6182,6150.2,6170.47,124.03,765088.72,6168.81
2018-10-12 2:00:00,6170.48,6188,6169.06,6180.72,84.62,523048.37,6181.19
2018-10-12 3:00:00,6184.03,6191.28,6169.51,6189.58,23.86,147498.34,6182.42
2018-10-12 4:00:00,6191.28,6204.28,6185.51,6197.6,178.72,1107395.16,6196.31
2018-10-12 5:00:00,6197.44,6208.37,6177.71,6201.68,104.93,649993.58,6194.52
2018-10-12 6:00:00,6201.86,6223.9,6201.86,6214.19,114.74,712840.66,6212.59
2018-10-12 7:00:00,6215,6238.27,6206.68,6224.83,271.31,1687910.09,6221.34
2018-10-12 8:00:00,6223.57,6243.79,6210,6216.22,176.96,1101405,6223.97
2018-10-12 9:00:00,6220.31,6223.12,6195,6199.14,120.32,746352.64,6203.3
2018-10-12 10:00:00,6199.14,6210,6198.52,6207,191.54,1188356.72,6204.32
2018-10-12 11:00:00,6207.61,6210.12,6192.95,6208.8,123.66,767233.86,6204.57
2018-10-12 12:00:00,6205.09,6226.86,6205.09,6222.38,63.23,392906.33,6214.24
2018-10-12 13:00:00,6219.26,6223,6200,6200.01,209.45,1300875.84,6210.9
2018-10-12 14:00:00,6200,6222.58,6199.11,6214.81,220.69,1370772.96,6211.19
2018-10-12 15:00:00,6214.81,6230.68,6212.11,6221.34,175.83,1093802.92,6220.83
2018-10-12 16:00:00,6221.53,6222.82,6213.32,6214.96,40.51,251939.52,6219.34
2018-10-12 17:00:00,6214.95,6218.78,6185.7,6198.77,70.7,438586.02,6203.45
2018-10-12 18:00:00,6198.76,6207.63,6193.15,6207.57,64.68,401103.82,6201.17
2018-10-12 19:00:00,6207,6215.73,6201.87,6215.73,61.64,382572.58,6206.7
2018-10-12 20:00:00,6215.73,6217.37,6200.16,6212.46,70.43,437301.88,6209.02
2018-10-12 21:00:00,6217.33,6222.91,6199.28,6207.65,53.27,330976.26,6212.9
2018-10-12 22:00:00,6207.62,6207.62,6172.22,6195.94,127.62,789673.02,6187.93
2018-10-12 23:00:00,6199.93,6205.29,6184.89,6185.15,26.17,162111.77,6193.48
2018-10-13 0:00:00,6182.03,6219.77,6175.14,6193.24,86.23,534002.77,6192.61
2018-10-13 1:00:00,6195.01,6201.98,6190.72,6195.77,51.8,320955.24,6196.15
2018-10-13 2:00:00,6195.78,6201.98,6182.23,6194.16,60.59,375247.1,6192.8
2018-10-13 3:00:00,6194.16,6194.22,6170.08,6177.7,54.73,338122.81,6177.98
2018-10-13 4:00:00,6179.49,6196.84,6168.83,6193.56,63.27,391248,6183.87
2018-10-13 5:00:00,6194.75,6205.39,6180.25,6188.54,105.17,651344.64,6193.12
2018-10-13 6:00:00,6193.14,6198.91,6178.8,6194.58,46.4,287186.5,6189.46
2018-10-13 7:00:00,6192.3,6197.77,6184.51,6196,170.67,1056490.44,6190.25
2018-10-13 8:00:00,6193.83,6198,6184.49,6190.49,134.94,835613.97,6192.61
2018-10-13 9:00:00,6189,6213.41,6188.2,6200.77,83.71,518917.66,6199.17
2018-10-13 10:00:00,6200.77,6210.9,6200.76,6208.3,41.26,256123.84,6207.64
2018-10-13 11:00:00,6207.67,6210,6196.87,6200,250.12,1551402.16,6202.71
2018-10-13 12:00:00,6200,6201.59,6182,6197,122.15,756428.58,6192.44
2018-10-13 13:00:00,6197,6197,6184.71,6189.38,171.82,1063183.85,6187.69
2018-10-13 14:00:00,6189.4,6200,6189.4,6200,51.96,322004.37,6196.97
2018-10-13 15:00:00,6198.36,6206.5,6196.99,6201.81,51.58,319846.6,6200.44
2018-10-13 16:00:00,6203.27,6210,6199.97,6204.4,81.49,505688.27,6205.3
2018-10-13 17:00:00,6204.47,6207,6201.4,6201.4,37.89,235110.78,6204.81
2018-10-13 18:00:00,6201.39,6206.07,6175.22,6175.22,78.14,484143.5,6195.92
2018-10-13 19:00:00,6178.73,6204.79,6175.23,6202.39,54.75,339078.46,6193.56
2018-10-13 20:00:00,6199.15,6203.91,6181.71,6190.43,50.41,312054.96,6190.64
2018-10-13 21:00:00,6188.53,6201.88,6184.33,6188.66,38.59,238965.34,6192.13
2018-10-13 22:00:00,6190.88,6201.5,6186.67,6201.5,27.76,171958.66,6194.8
2018-10-13 23:00:00,6201.5,6204.61,6193.54,6199.69,38.61,239322.65,6198.72
2018-10-14 0:00:00,6201.23,6201.72,6195.53,6198.88,42.01,260401.14,6198.18
2018-10-14 1:00:00,6194.23,6200.09,6194.23,6200.09,44.99,278892.29,6199.14
2018-10-14 2:00:00,6200.04,6200.54,6196.22,6199.51,55.27,342653.47,6200.01
2018-10-14 3:00:00,6200.54,6228.32,6197.64,6224.83,143.41,891103.42,6213.53
2018-10-14 4:00:00,6222.52,6349.47,6222.51,6264.31,604.46,3797337.94,6282.24
2018-10-14 5:00:00,6261.21,6276.1,6235.07,6237.17,120.68,754742.45,6253.9
2018-10-14 6:00:00,6237.17,6252.81,6234.75,6243.07,52.86,329914.56,6241.49
2018-10-14 7:00:00,6244.99,6255,6236,6241,48.22,301002.83,6242.51
2018-10-14 8:00:00,6237.78,6246.29,6237.4,6239.99,38.23,238544.1,6240.44
2018-10-14 9:00:00,6239.99,6240,6222.13,6227.46,273.61,1705609.86,6233.82
2018-10-14 10:00:00,6227.46,6239.87,6215.5,6219.4,31.97,199098.71,6227.31
2018-10-14 11:00:00,6219.4,6226.1,6209.99,6226.1,104.53,649640.59,6215.04
2018-10-14 12:00:00,6220.01,6235,6215.3,6235,25.79,160630.84,6229.52
2018-10-14 13:00:00,6235,6235,6215.6,6222.45,24.6,153151.1,6224.55
2018-10-14 14:00:00,6222.45,6225,6213.66,6224.99,35.07,218143.35,6220.54
2018-10-14 15:00:00,6224.99,6239.8,6223.11,6239.06,62.42,389054.32,6232.86
2018-10-14 16:00:00,6236.63,6247.07,6223.65,6238.96,47.57,296674.26,6236.69
